servername,instanceid,servertype
USEADVCE12DB1,i-0d096e2625bd83918,DB
USEADVCT10STIER,i-0a7d6e105c953edc1,DB
USEADVCT11STIER,i-0448511597ab8698f,DB
USEADVCT12STIER,i-09287402a54abb98f,DB
USEADVCT13STIER,i-0824760e3dd95917e,DB
USEADVCT14STIER,i-08701880cd01ba6c6,DB
USEADVCT15STIER,i-03a198c71a72101aa,DB
USEADVCT16STIER,i-094907d829197d992,DB
USEADVCT17STIER,i-054701c1afee1e000,DB
USEADVCT2DB1,i-0ca9cb9eccebe5496,DB
USEADVCT6STIER,i-092a81b505fc2c692,DB
USEADVCT7STIER,i-0482945fff13519b3,DB
USEADVCT8STIER,i-00734273a4f60ba64,DB
USEADVCT9STIER,i-0209c4d0cca2f5370,DB
USEAPDCE12APP1,i-0fdeb88216036cd01,APP
USEAPDCE12APP2,i-0f9e5329b18b30238,APP
USEAPDCE12APP3,i-077131e75c95556d1,APP
USEAPDCE12DB1,i-000a13dd3e1ba0c8d,DB
USEAPDCE12DB2,i-06e850bd70ca299d3,DB
USEAPDCE12WADM,i-0780856fac1fcf071,WADM
USEAPDCE12WEB1,i-0f2c2b648cd2cb37f,WEB
USEAPDCE12WEB2,i-021c8f20b6f216e22,WEB
USEAPDCP1OPS6,i-a10ac01f,WEB
USEAPDCP1OPS7,i-e8c01c58,WEB
USEAPDCP1PRTG1,i-a9b76b19,WEB
USEAPDCP1PRTG2,i-554c86eb,WEB
USEAPDCP1RDP3,i-2ae9e786,
USEAPDCP1RDP4,i-214cd08a,WEB
USEAPDCP1RDP5,i-0a3b5f1d88eaf6f10,WEB
USEAPDCP1SCA1,i-0c772c862c8eed8a0,WEB
USEAPDCP1SCA2,i-0af975abfc864c14a,WEB
USEAPDCP1UPD1,i-8d74573c,WEB
USEATTCP1RDP1,i-f0fe5840,WEB
USEATTCT2APFS1,i-00473e1a689357e45,APFS
USEATTCT2APP1,i-0c6a0a78b705bee03,APP
USEATTCT2APP2,i-088d44e64fa755e2a,APP
USEATTCT2WADM,i-054b5afa479f99bd9,WADM
USEATTCT2WEB1,i-0cfecfef23058a5b6,WEB
USEATTCT2WEB2,i-0541582329efaecc8,WEB
USWEPDCP1PRTG1,i-09b405cd,WEB
USWEPDCP1RDP3,i-791489bc,
USWEPDCP1RDP4,i-fa9f3521,WEB
USWEPDCP1UPD1,i-87e30341,WEB
USEAPDCP1OPS9,i-03d4e155ce1e207ce,WEB
USEAPDCP1SMR2,i-0003d6e88554cf1b3,WEB
USWEPDCP1SMR2,i-0b2e95ae3b4b702fa,WEB
USEAPDCP1UPD2,i-0dbba38a32a6ec861,
USWEPDCP1UPD2,i-0174f3549b9e866f7,
