servername,instanceid,servertype
APAUPDSS1DBA1,i-0edec98dace830f4e,
APAUPDSS1HDP1,i-0a82adeeef7671ed8,
APAUPDSS1HDP2,i-0abd324546b3b94b9,
APAUPDVE2DB1,i-6662c45d,
APAUPDVE2DB2,i-6ef2a0c1,
APAUSPVE2DB1,i-4362c478,
APSPDRVE2DB1,i-201cd887,
DR-ADDC6,i-0c9f1b8968de32029,
CACEPDSS1DBA1,i-010422a43986758ce,
CACEPDSS1HDP1,i-0ce15cb62af9d9c27,
CACEPDSS1HDP2,i-03ef7b0420791f967,
EUWEDVME8APP30,i-028aa644d19fea7b2,
EUWEDVME8APP31,i-001b5abc0b2fe2d9b,
USEATTAC2WEB1,i-2a50eb3c,
USEATTVE5DB1,i-0318c78509cca3f4d,
EUWEDVPM6RPT1,i-09a423b889c480a52,
EUWEINME7APP1,i-0622c8b1e27d46fdb,
EUWEINME7APP2,i-022ab2f2782fcd875,
EUWEINME7APP3,i-0916776def17b6353,
EUWEINME7BPM1,i-0c52cf4cc9d5edd6f,
EUWEINME7BPM2,i-0a34fba34df56a027,
EUWEINME7BPM3,i-0f0600ee5b95f63cc,
EUWEINME7BPM4,i-006fe21aa7f306bbd,
EUWEINME7PPL1,i-0bb03a2e349c1f00d,
EUWEINME7PPL2,i-0f8ecc014ec11e63c,
USWEDRAJ1DB7,i-bbb2472f,
USWEDRAJ2DB1,i-6f3ad1fb,
USWEDRAJ2DB11,i-00bc980be0fa67da8,
USWEDRAJ2DB5,i-76b144e2,
USWEDRAJ2DB9,i-aeb2473a,
USWEDRVE29DB1,i-07e304120b945daf3,
USWEDRVE30DB1,i-0712474d7abdd66fa,
EUWEPDSS1DBA1,i-0f4ef7d511453715e,
EUWEPDSS1HDP1,i-0d39ec99c0d6f24a1,
EUWEPDSS1HDP2,i-0fba2cf57d60ec8d2,
EUWESBME8APP30,i-0f9c4bfd1832fc873,
EUWESBME8APP31,i-0952dba718046f5e0,
EUWESBME8APP32,i-0e0404e7eecb3564b,
EUWESBME8BPM31,i-0afbaccd47b408452,
EUWESBME8PPL30,i-04e4822a1418f9e53,
PIMGoldenImage,i-0af70ca6d757dccb0,
USEAPDAC3RPT1,i-05cccf79816e8dd01,
USEAPDAC3WEB2,i-0a75e67e0f582a8df,
USEAPDAJ1DB7,i-0447159a368ed4821,
USEAPDAJ1DB8,i-6b1133c7,
USEAPDAJ2APP26,i-0843a7f9a442a89d1,
USEAPDAJ2DB1,i-0d309de10f2a8d4b8,
USEAPDAJ2DB10,i-9bfa0829,
USEAPDAJ2DB11,i-0263360364de109f2,
USEAPDAJ2DB12,i-0d53a2142e28219ce,
USEAPDAJ2DB2,i-24b8bd95,
USEAPDAJ2DB3,i-090e027ee0c54b31a,
USEAPDAJ2DB4,i-37d7e497,
USEAPDAJ2DB5,i-051b9b99f656bb68a,
USEAPDAJ2DB6,i-c1ff9561,
USEAPDAJ2DB9,i-0e8e5708aed6208a4,
USEAPDAJ2WEB26,i-06a30dc4fd74d8cbd,
USEAPDNC2DB1,i-1a5995cf,
USEAPDNC2DB2,i-fdc86b5d,
USEAPDNC3DB1,i-07883719b081b7a96,
USEAPDPM1MX1,i-049eb5d2917cae5e4,
USEAPDPM1MX2,i-06f1a12274708ada9,
USEAPDSS1DBA1,i-05ac0db245d9a79a2,
USEAPDSS1HDP2,i-02d1781d25b424c3d,
USEAPDSS1HDP3,i-005d2570bd3d79a47,
USEAPDSS1HDP4,i-0c3cca806e2e7e9eb,
USEASPAJ2DB1,i-0ed3fabcf187eeb36,
USEAPDVE29DB1,i-0db0a9d7cafc712ad,
USEAPDVE29DB2,i-0c01732441d950cbe,
USEASPCM1WEB1,i-b965632a,
USEASPVE5DB1,i-a54b6c09,
USEAPDVE30DB1,i-0db45ab5f35517e19,
USEAPDVE30DB2,i-0339e20641c05286b,
USEAPDVE30RPT1,i-0a9ce51ec9ad19a39,
USEAPDVE30RPT2,i-0f6325d289e71804b,
USEAPDVE30TBL1,i-08a7246b2948b4bc6,
USEAPDVE30WEB1,i-02ef35403c9fb7a06,
USEAPDVE30WEB2,i-0e3c5b9cad36ce750,
USEAPDVE3DB1,i-00d0219cd682b8e16,
USEAPDVE3DB2,i-0a82c99c77dc02513,
USEAPDVE7DB1,i-7b9793af,
USEAPDVE7DB2,i-679480d6,
USEAPDVE8DB1,i-9d766748,
USEAPDVE8DB2,i-372d0097,
USEAPDVE9DB1,i-00abc2c2abd228a01,
USEAPDVE9DB2,i-f8ce3b5b,
