servername,instanceid,servertype
EUWETTMN2DB1,i-6da386e1,
EUWETTMN4BPM7,i-062684e1201db256c,
EUWETTMN4DB1,i-011cd525fe24d1f85,
EUWETTMN4DB3,i-0c92165c40db77b5b,
EUWETTMN9BPM13,i-04e601a4d6ddd5e69,
USEAPDFP1DBA1,i-1dc29013,
USEAPDMN1DB1,i-f9a69b79,
USEAPDMN1DB2,i-946d8f10,
USEAPDVF4DB1,i-005380d777b55f6d1,
USEAPDVF4DB2,i-affa917b,
USEAPDVP6PS1,i-0d8d513900f2e5df7,
USEAPDVP6PS2,i-082864082afd51875,
USEAPDVP6WEB1,i-09e75dbcd085914a4,
USEAPDVP6WEB2,i-0ff4f99628c94b87d,
USEAPDVP7WEB5,i-0b01726f36b50e7f0,
USEAPDVP7WEB6,i-09ffe53264a3a4a2b,
USEASPVP6WEB1,i-03886176a6227e975,
USEATTMN1DB1,i-335295ac,
USEATTVF4DB1,i-2af14e1a,
USEATTVP6WEB1,i-01847b9df13b32975,
USWEDRMN1DB1,i-831b8d44,
USWEPDVF4DB1,i-2bf024ef,
CACEPDFP1DBA1,i-02d5cf0a46533469f,
CACEPDVF10RPT1,i-06872f473aa79688a,
CACEPDVF14DB2,i-058110181e636f572,
EUCEDRFP1DB1,i-5dd045e0,
EUCEDRMN2DB1,i-06a8cd6b77a80ae61,
EUCEDRMN3DB1,i-49b2d6f4,
EUCEDRVF2DB1,i-8868c935,
EUWEDVMN15APP30,i-0806b8cf43b988126,
EUWEDVMN15BPM30,i-0e7b0682b67d39173,
EUWEDVMN4DB1,i-09d122949218d968d,
EUWEDVMN4DB3,i-054584aa1593269fe,
EUWEDVMN9APP24,i-031f4cbe21d96f04d,
EUWEDVMN9APP25,i-083ce1e7caf94f6e3,
EUWEDVMN9BPM24,i-0b8d4a9d5de571b11,
EUWEDVMN9BPM25,i-023b11c8b0fe2cfef,
EUWEINMN6BPM8,i-05ef4821ddaddb40f,
EUWEINMN6DB7,i-0dad47325898d104d,
EUWEINMN6DB8,i-0a7fb9cc3e2fb177c,
EUWEPDFP1DB1,i-28f1eee9,
EUWEPDFP1DB2,i-d244a35d,
EUWEPDFP1DBA1,i-7883b4f2,
EUWEPDMN2DB1,i-0b55c6f30dd6742d5,
EUWEPDMN2DB2,i-0fe2ce9ac64af76d9,
EUWEPDMN2DB3,i-cbd1160b,
EUWEPDMN3DB1,i-0a3414a318719f1d3,
EUWEPDMN3DB2,i-8b21c81d,
EUWEPDMN3DB3,i-662efaa6,
EUWEPDMN9BPM18,i-0b65356493647e20e,
EUWEPDVF2DB1,i-fb1c485a,
EUWEPDVF2DB2,i-91da781d,
