servername,instanceid,servertype
EUWEPDMN7WEB1,i-0deb9b5d9f0854f71,WEB
EUWEPDMN7WEB2,i-018ee66ef73b3523f,WEB
EUWEPDMN7WEB3,i-06bf00c65e00ce11e,WEB
EUWEPDMN7WEB4,i-0784d46ced7c74b0f,WEB
EUWEPDMN7WEB5,i-0c669b413cac36b9a,WEB
EUWEPDMN7WEB6,i-0faf015c3ff52a2f7,WEB
EUWEPDMN7App2,i-04ad086b261aeea17,APP
EUWEDVMN7APP4,i-0b3936f1f4b7316c4,APP
EUWEDVMN7APP5,i-079759a6dc6020723,APP
EUWETTMN7APP1,i-076bee42f09bb4576,APP
EUWEPDMN7APP3,i-0be70bce904b489a5,APP
EUWEDVMN7APP6,i-0da3d587a7381980b,APP
EUWETTMN7APP1,i-076bee42f09bb4576,APP
