servername,,instanceid,servertype
USEAPDCP1RDS1,,i-06d854f6bf6ab77b4,APFS
USEADVCE7DB1,,i-0ebfa14e63a97c66b,DB
USEADVEP0WADM1,,i-02ab4c6b41c4a91a5,WADM
USEADVEP0WEB1,,i-063f211bfb958a1cb,WEB
USEAPDCE7APFS1,,i-0e85d7e5c2c626015,APFS
USEAPDCE7APP1,,i-00e3970aa8fe828e6,APP
USEAPDCE7WADM,,i-0698f1e95cbc4e30a,WADM
USEAPDCE7WEB1,,i-00b4a7524c9d4f74c,WEB
USEAPDCR0WADM1,,i-094f4155017b06f1e,WADM
USEAPDCR0WEB1,,i-038b62e4fd44173c8,WEB
USEATTCP1UPG10,,i-01149903633877a6b,APFS
USEATTCP1UPG7,,i-0fd9e4952c927161b,APFS
USEATTCP1UPG8,,i-0ce66c214cf602ea1,APFS
USEADVCE07DB1,,i-08eda54cec1570139,DB
USEATTCR13APP1,,i-08bd35b928ac4c818,APP
USEATTCR13CCM1,,i-042f7bdc37c59f8de,APFS
USEATTCR13DB1,,i-0a45b863209ce9c9c,DB
USEATTCR13WEB1,,i-062d242beea7e8805,WEB
USEATTCR13WEB2,,i-0640969ca1ca11370,WEB
USEAPDCR0WADM2,,i-0f60a5e9696bebdee,WADM
USEAPDCR0WEB2,,i-07c9d6ffa1c3a11b7,WEB
